shopping_id,loja_nome,segmento,cupons,clientes,valor_total,ticket_medio,shopping_sigla,ranking
2,Paris Cosméticos,Beleza e Bem-estar,103,91,36118.89,350.67,BS,7
2,Le Lis Blanc,Moda,16,15,35233.56,2202.1,BS,8
2,Lofty style,Moda Feminina,35,32,32606.6,931.62,BS,9
2,Brooksfield,Moda,12,12,28370.24,2364.19,BS,10
2,Cacau Show,Gastronomia,105,87,27482.6,261.74,BS,11
2,Oakley,Ótica,12,11,27205.6,2267.13,BS,12
2,Coliseu,Joalheria,6,5,26607.0,4434.5,BS,13
2,Track&Field,Moda,43,35,26463.54,615.43,BS,14
2,Superlegal Brinquedos,Infantil,118,99,25184.3,213.43,BS,15
2,Paula Torres,Calçados Femininos,9,9,24919.31,2768.81,BS,16
2,Rayban,Ótica,14,13,24810.5,1772.18,BS,17
2,Adidas,Esportes,29,25,24176.05,833.66,BS,18
2,Adidas Originals,Moda,29,27,23870.7,823.13,BS,19
2,The North Face,Moda,14,7,23633.0,1688.07,BS,20
2,Livrarias Catarinense,Livrarias,196,159,22869.59,116.68,BS,21
2,Zeiss Vision Center,Ótica,4,4,20325.0,5081.25,BS,22
2,Dress To,Moda Feminina,14,14,19786.0,1413.29,BS,23
2,Magic Feet,Moda,19,16,19773.86,1040.73,BS,24
2,Samsung,Eletrônicos,2,2,19574.0,9787.0,BS,25
2,Arezzo,Calçados Femininos,34,32,19240.85,565.91,BS,26
2,Kopenhagen,Gastronomia,81,57,18262.22,225.46,BS,27
2,Le Creuset,Casa e Decoração,21,19,17999.25,857.11,BS,28
2,Live!,Moda,31,28,17832.28,575.23,BS,29
2,Virus 41,Calçados,21,21,17079.41,813.31,BS,30
2,Outback Steakhouse,Gastronomia,62,47,15888.9,256.27,BS,31
2,Nike,Moda,12,12,15072.68,1256.06,BS,32
2,Maria Dolores,Joalheria,6,6,14889.0,2481.5,BS,33
2,Hope,Moda,39,37,14882.29,381.6,BS,34
2,Dolce & Gabbana,Moda,2,2,14809.0,7404.5,BS,35
2,Granado,Beleza e Bem-estar,59,45,14646.18,248.24,BS,36
2,Carter´s,Infantil,33,30,14639.41,443.62,BS,37
2,Miniso,Presentes e Acessórios,101,35,14441.67,142.99,BS,38
2,Altenburg,Casa e Decoração,6,6,14353.56,2392.26,BS,39
