shopping_id,cnpj,loja_nome,segmento,cupons,clientes,valor_total,shopping_sigla,participou
2,32306307002740,Creamy Skin Care,Beleza e Bem-estar,6,6,879.79,BS,True
2,20723267000114,Loft,Eletrônicos,3,3,857.9,BS,True
2,55403860000168,Buddha Spa,Serviços,4,3,838.0,BS,True
2,25286562000174,Growfit,Gastronomia,8,7,791.5,BS,True
2,57109588000133,Bondyou,Presentes e Acessórios,8,7,702.1,BS,True
2,09611669018999,Animale,Moda Feminina,1,1,678.3,BS,True
2,28436148000192,Valenttina,Moda Feminina,5,4,674.6,BS,True
2,26715139000105,Fun Case,Eletrônicos,3,3,673.0,BS,True
2,18865201000389,"Quem disse, Berenice?",Beleza e Bem-estar,12,11,664.35,BS,True
2,60276975000179,Bread Pide,Gastronomia,15,14,660.29,BS,True
2,39623353000183,Mr. Cheff,Gastronomia,11,5,486.88,BS,True
2,15815603000623,Pecorino,Gastronomia,2,2,450.87,BS,True
2,36485721001077,Patbo,Moda Feminina,1,1,375.0,BS,True
2,49798673000128,Jah Açaí,Gastronomia,11,7,318.5,BS,True
2,03888580000274,Bob's,Gastronomia,12,10,292.8,BS,True
2,38468167000154,Los Mariachis,Gastronomia,4,1,223.0,BS,True
2,06102194000112,Chilli Beans,Ótica,1,1,199.98,BS,True
2,23486280000195,Clube Melissa,Calçados,2,2,190.9,BS,True
2,31738634000170,Acium,Presentes e Acessórios,1,1,184.81,BS,True
2,53599236000152,Nutty Bavarian,Gastronomia,4,4,174.0,BS,True
2,49538746000142,Milky moo,Gastronomia,2,2,141.0,BS,True
2,58740351000119,Juistreet,Gastronomia,3,2,98.8,BS,True
2,46035164000155,Roasted Potato & Suco Bagaço,Gastronomia,9,8,92.0,BS,True
2,41908357000150,Acuvue Lentes,Ótica,0,0,0.0,BS,False
2,55457158000187,Biscoitê,Calçados,0,0,0.0,BS,False
2,20036374000255,Boiko,Joalheria,0,0,0.0,BS,False
2,33443501000100,Calzedonia,Moda,0,0,0.0,BS,False
2,23844753000189,Celular Shop,Eletrônicos,0,0,0.0,BS,False
2,15425654003400,Cotton On,Beleza e Bem-estar,0,0,0.0,BS,False
